lenguaje,n,algoritmo,escenario,repeticion,clave,posicion_origen,posicion,comparaciones,tiempo_ns
Python,1000,lineal,centro,11,14665,500,500,501,53800
Python,1000,binaria,final,6,15130,999,502,8,921
Python,1000,lineal,centro,10,14665,500,500,501,15383
Python,1000,binaria,inicio,11,13405,0,187,9,801
Python,1000,binaria,final,22,15130,999,502,8,791
Python,1000,lineal,centro,23,14665,500,500,501,15292
Python,1000,binaria,inicio,25,13405,0,187,9,771
Python,1000,binaria,ausente,20,18288,-1,-1,10,1102
Python,1000,lineal,inicio,9,13405,0,0,1,210
Python,1000,binaria,ausente,15,18288,-1,-1,10,1032
Python,1000,binaria,inicio,4,13405,0,187,9,741
Python,1000,binaria,ausente,6,18288,-1,-1,10,1031
Python,1000,binaria,final,14,15130,999,502,8,821
Python,1000,binaria,inicio,18,13405,0,187,9,1092
Python,1000,binaria,inicio,6,13405,0,187,9,952
Python,1000,lineal,ausente,5,18288,-1,-1,1000,35152
Python,1000,binaria,ausente,25,18288,-1,-1,10,1372
Python,1000,binaria,centro,24,14665,500,406,9,1172
Python,1000,lineal,final,12,15130,999,999,1000,35383
Python,1000,binaria,inicio,16,13405,0,187,9,1101
Python,1000,lineal,final,27,15130,999,999,1000,35042
Python,1000,binaria,inicio,3,13405,0,187,9,842
Python,1000,binaria,centro,28,14665,500,406,9,982
Python,1000,lineal,final,2,15130,999,999,1000,35102
Python,1000,binaria,ausente,22,18288,-1,-1,10,1092
Python,1000,binaria,inicio,12,13405,0,187,9,1162
Python,1000,binaria,final,4,15130,999,502,8,961
Python,1000,lineal,centro,1,14665,500,500,501,15392
Python,1000,binaria,centro,8,14665,500,406,9,991
Python,1000,lineal,final,24,15130,999,999,1000,35132
Python,1000,lineal,ausente,15,18288,-1,-1,1000,34982
Python,1000,lineal,ausente,23,18288,-1,-1,1000,34992
Python,1000,lineal,ausente,10,18288,-1,-1,1000,35032
Python,1000,lineal,inicio,2,13405,0,0,1,260
Python,1000,lineal,centro,7,14665,500,500,501,15323
Python,1000,lineal,centro,24,14665,500,500,501,15323
Python,1000,lineal,final,14,15130,999,999,1000,35793
Python,1000,lineal,inicio,13,13405,0,0,1,220
Python,1000,lineal,centro,17,14665,500,500,501,15313
Python,1000,binaria,inicio,27,13405,0,187,9,1061
Python,1000,lineal,centro,2,14665,500,500,501,15403
Python,1000,binaria,final,25,15130,999,502,8,1042
Python,1000,lineal,final,23,15130,999,999,1000,35282
Python,1000,binaria,final,16,15130,999,502,8,821
Python,1000,lineal,final,29,15130,999,999,1000,35083
Python,1000,lineal,ausente,21,18288,-1,-1,1000,35222
Python,1000,lineal,centro,3,14665,500,500,501,15273
Python,1000,binaria,ausente,13,18288,-1,-1,10,1122
Python,1000,lineal,inicio,21,13405,0,0,1,241
Python,1000,lineal,ausente,13,18288,-1,-1,1000,34812
Python,1000,binaria,ausente,10,18288,-1,-1,10,1132
Python,1000,lineal,inicio,29,13405,0,0,1,220
Python,1000,lineal,ausente,9,18288,-1,-1,1000,35123
Python,1000,binaria,ausente,28,18288,-1,-1,10,1001
Python,1000,binaria,final,8,15130,999,502,8,811
Python,1000,binaria,centro,21,14665,500,406,9,991
Python,1000,lineal,inicio,17,13405,0,0,1,230
Python,1000,binaria,final,30,15130,999,502,8,821
Python,1000,binaria,final,18,15130,999,502,8,761
Python,1000,lineal,ausente,27,18288,-1,-1,1000,35113
Python,1000,lineal,centro,5,14665,500,500,501,15262
Python,1000,lineal,inicio,8,13405,0,0,1,220
Python,1000,lineal,ausente,12,18288,-1,-1,1000,35162
Python,1000,lineal,final,25,15130,999,999,1000,35132
Python,1000,lineal,final,6,15130,999,999,1000,34962
Python,1000,lineal,ausente,18,18288,-1,-1,1000,35293
Python,1000,binaria,final,10,15130,999,502,8,841
Python,1000,lineal,inicio,14,13405,0,0,1,231
Python,1000,lineal,inicio,3,13405,0,0,1,221
Python,1000,binaria,centro,10,14665,500,406,9,972
Python,1000,binaria,centro,9,14665,500,406,9,901
Python,1000,lineal,final,1,15130,999,999,1000,49093
Python,1000,lineal,centro,22,14665,500,500,501,15433
Python,1000,binaria,inicio,30,13405,0,187,9,982
Python,1000,lineal,ausente,29,18288,-1,-1,1000,35152
Python,1000,lineal,final,8,15130,999,999,1000,35103
Python,1000,lineal,final,10,15130,999,999,1000,35172
Python,1000,binaria,ausente,24,18288,-1,-1,10,1162
Python,1000,lineal,ausente,30,18288,-1,-1,1000,35152
Python,1000,binaria,ausente,19,18288,-1,-1,10,1042
Python,1000,lineal,final,22,15130,999,999,1000,35152
Python,1000,lineal,ausente,7,18288,-1,-1,1000,35083
Python,1000,binaria,final,29,15130,999,502,8,891
Python,1000,lineal,inicio,5,13405,0,0,1,260
Python,1000,lineal,inicio,20,13405,0,0,1,281
Python,1000,binaria,ausente,23,18288,-1,-1,10,1021
Python,1000,binaria,centro,30,14665,500,406,9,992
Python,1000,lineal,inicio,12,13405,0,0,1,251
Python,1000,binaria,centro,27,14665,500,406,9,1863
Python,1000,binaria,centro,26,14665,500,406,9,1382
Python,1000,lineal,ausente,11,18288,-1,-1,1000,38177
Python,1000,binaria,inicio,24,13405,0,187,9,1122
Python,1000,lineal,inicio,27,13405,0,0,1,240
Python,1000,lineal,ausente,26,18288,-1,-1,1000,35243
Python,1000,binaria,ausente,29,18288,-1,-1,10,1342
Python,1000,binaria,inicio,9,13405,0,187,9,841
Python,1000,binaria,centro,3,14665,500,406,9,972
Python,1000,lineal,ausente,3,18288,-1,-1,1000,35163
Python,1000,binaria,centro,19,14665,500,406,9,941
Python,1000,lineal,inicio,4,13405,0,0,1,231
Python,1000,lineal,ausente,25,18288,-1,-1,1000,35483
Python,1000,lineal,final,28,15130,999,999,1000,35213
Python,1000,lineal,centro,14,14665,500,500,501,15332
Python,1000,lineal,ausente,14,18288,-1,-1,1000,35012
Python,1000,binaria,inicio,13,13405,0,187,9,871
Python,1000,lineal,centro,30,14665,500,500,501,15363
Python,1000,binaria,final,11,15130,999,502,8,901
Python,1000,lineal,ausente,17,18288,-1,-1,1000,35383
Python,1000,lineal,final,15,15130,999,999,1000,35233
Python,1000,binaria,inicio,10,13405,0,187,9,801
Python,1000,lineal,inicio,19,13405,0,0,1,260
Python,1000,lineal,inicio,24,13405,0,0,1,221
Python,1000,lineal,final,5,15130,999,999,1000,35163
Python,1000,binaria,final,5,15130,999,502,8,841
Python,1000,binaria,ausente,8,18288,-1,-1,10,1112
Python,1000,lineal,ausente,28,18288,-1,-1,1000,35322
Python,1000,binaria,final,1,15130,999,502,8,892
Python,1000,binaria,final,23,15130,999,502,8,821
Python,1000,lineal,final,20,15130,999,999,1000,35192
Python,1000,binaria,final,19,15130,999,502,8,811
Python,1000,lineal,centro,25,14665,500,500,501,15313
Python,1000,lineal,centro,29,14665,500,500,501,15253
Python,1000,binaria,centro,15,14665,500,406,9,921
Python,1000,lineal,centro,16,14665,500,500,501,15303
Python,1000,lineal,final,3,15130,999,999,1000,35363
Python,1000,binaria,centro,14,14665,500,406,9,881
Python,1000,binaria,centro,1,14665,500,406,9,932
Python,1000,lineal,centro,26,14665,500,500,501,15343
Python,1000,binaria,inicio,29,13405,0,187,9,831
Python,1000,binaria,final,28,15130,999,502,8,861
Python,1000,binaria,ausente,7,18288,-1,-1,10,1142
Python,1000,binaria,inicio,7,13405,0,187,9,771
Python,1000,lineal,final,9,15130,999,999,1000,35172
Python,1000,lineal,centro,28,14665,500,500,501,15453
Python,1000,binaria,ausente,26,18288,-1,-1,10,1082
Python,1000,lineal,final,21,15130,999,999,1000,40670
Python,1000,lineal,final,7,15130,999,999,1000,35243
Python,1000,lineal,ausente,24,18288,-1,-1,1000,35192
Python,1000,binaria,final,2,15130,999,502,8,1242
Python,1000,lineal,inicio,16,13405,0,0,1,270
Python,1000,binaria,inicio,26,13405,0,187,9,861
Python,1000,lineal,ausente,2,18288,-1,-1,1000,35303
Python,1000,lineal,final,4,15130,999,999,1000,35423
Python,1000,binaria,inicio,22,13405,0,187,9,802
Python,1000,binaria,ausente,3,18288,-1,-1,10,1112
Python,1000,binaria,centro,5,14665,500,406,9,1082
Python,1000,binaria,ausente,16,18288,-1,-1,10,1131
Python,1000,binaria,centro,23,14665,500,406,9,952
Python,1000,binaria,final,12,15130,999,502,8,871
Python,1000,lineal,inicio,28,13405,0,0,1,210
Python,1000,binaria,centro,11,14665,500,406,9,921
Python,1000,binaria,inicio,5,13405,0,187,9,761
Python,1000,lineal,centro,20,14665,500,500,501,15483
Python,1000,lineal,centro,27,14665,500,500,501,15203
Python,1000,binaria,inicio,14,13405,0,187,9,791
Python,1000,lineal,inicio,30,13405,0,0,1,240
Python,1000,lineal,ausente,6,18288,-1,-1,1000,35112
Python,1000,lineal,final,30,15130,999,999,1000,35072
Python,1000,binaria,centro,2,14665,500,406,9,921
Python,1000,lineal,ausente,22,18288,-1,-1,1000,35253
Python,1000,binaria,centro,7,14665,500,406,9,901
Python,1000,lineal,final,18,15130,999,999,1000,35112
Python,1000,binaria,centro,22,14665,500,406,9,881
Python,1000,lineal,centro,12,14665,500,500,501,15343
Python,1000,lineal,centro,21,14665,500,500,501,15373
Python,1000,binaria,centro,25,14665,500,406,9,901
Python,1000,binaria,final,27,15130,999,502,8,841
Python,1000,binaria,final,9,15130,999,502,8,831
Python,1000,binaria,centro,12,14665,500,406,9,882
Python,1000,lineal,inicio,25,13405,0,0,1,221
Python,1000,binaria,centro,13,14665,500,406,9,872
Python,1000,lineal,inicio,11,13405,0,0,1,191
Python,1000,binaria,inicio,20,13405,0,187,9,832
Python,1000,lineal,centro,9,14665,500,500,501,15283
Python,1000,binaria,ausente,18,18288,-1,-1,10,1102
Python,1000,lineal,ausente,8,18288,-1,-1,1000,35152
Python,1000,binaria,inicio,17,13405,0,187,9,731
Python,1000,binaria,final,21,15130,999,502,8,791
Python,1000,binaria,inicio,2,13405,0,187,9,791
Python,1000,binaria,final,20,15130,999,502,8,831
Python,1000,binaria,ausente,30,18288,-1,-1,10,1082
Python,1000,lineal,inicio,10,13405,0,0,1,210
Python,1000,lineal,centro,18,14665,500,500,501,15403
Python,1000,lineal,inicio,18,13405,0,0,1,240
Python,1000,binaria,inicio,21,13405,0,187,9,771
Python,1000,binaria,ausente,4,18288,-1,-1,10,1081
Python,1000,lineal,final,16,15130,999,999,1000,35323
Python,1000,binaria,final,7,15130,999,502,8,871
Python,1000,binaria,centro,16,14665,500,406,9,881
Python,1000,lineal,inicio,26,13405,0,0,1,240
Python,1000,binaria,centro,17,14665,500,406,9,911
Python,1000,lineal,ausente,16,18288,-1,-1,1000,35033
Python,1000,binaria,ausente,2,18288,-1,-1,10,1132
Python,1000,binaria,ausente,1,18288,-1,-1,10,1002
Python,10000,binaria,ausente,4,18288,-1,-1,14,1963
Python,10000,lineal,ausente,13,18288,-1,-1,10000,390692
Python,10000,lineal,final,25,15100,9999,9999,10000,478192
Python,10000,binaria,final,17,15100,9999,4912,12,2274
Python,10000,lineal,final,20,15100,9999,9999,10000,392484
Python,10000,lineal,final,7,15100,9999,9999,10000,391572
Python,10000,binaria,centro,19,15825,5000,6022,14,2123
Python,10000,lineal,inicio,3,14101,0,0,1,341
Python,10000,lineal,centro,18,15825,5000,5000,5001,206367
Python,10000,binaria,inicio,5,14101,0,2844,14,2093
Python,10000,binaria,final,21,15100,9999,4912,12,1493
Python,10000,binaria,final,22,15100,9999,4912,12,1272
Python,10000,binaria,final,11,15100,9999,4912,12,1302
Python,10000,binaria,ausente,21,18288,-1,-1,14,1582
Python,10000,binaria,ausente,5,18288,-1,-1,14,3666
Python,10000,binaria,final,19,15100,9999,4912,12,1382
Python,10000,binaria,inicio,22,14101,0,2844,14,1722
Python,10000,binaria,inicio,15,14101,0,2844,14,1482
